label,name,url,r,collab_in,components,n_seg,r_bin,norm
,Arc North & Bryce Fox,https://www.last.fm/music/Arc+North+&+Bryce+Fox,0.736,1046,arc north (in=356); bryce fox (in=1422),2,"[0.67,0.80)",arc north & bryce fox
,"O SIDE MAFIA, Tu$ Brother$","https://www.last.fm/music/O+SIDE+MAFIA,+Tu$+Brother$",0.738,748,o side mafia (in=1014); tu$ brother$ (in=430),2,"[0.67,0.80)","o side mafia, tu$ brother$"
,"如月千早 (CV:今井麻美), 四条貴音 (CV:原由実), 菊地真 (CV:平田宏美)","https://www.last.fm/music/%E5%A6%82%E6%9C%88%E5%8D%83%E6%97%A9+(CV:%E4%BB%8A%E4%BA%95%E9%BA%BB%E7%BE%8E),+%E5%9B%9B%E6%9D%A1%E8%B2%B4%E9%9F%B3+(CV:%E5%8E%9F%E7%94%B1%E5%AE%9F),+%E8%8F%8A%E5%9C%B0%E7%9C%9F+(CV:%E5%B9%B3%E7%94%B0%E5%AE%8F%E7%BE%8E)",0.745,108,ru yue qian zao (cv:jin jing ma mei ) (in=145); si tiao gui yin (cv:yuan you shi ) (in=109); ju di zhen (cv:ping tian hong mei ) (in=109),3,"[0.67,0.80)","ru yue qian zao (cv:jin jing ma mei ), si tiao gui yin (cv:yuan you shi ), ju di zhen (cv:ping tian hong mei )"
,United Feature Syndicate,https://www.last.fm/music/United+Feature+Syndicate,0.746,373,united (in=184); syndicate (in=500),2,"[0.67,0.80)",united feature syndicate
,Whethan & Oliver Tree,https://www.last.fm/music/Whethan+&+Oliver+Tree,0.747,706,whethan (in=945); oliver tree (in=720),2,"[0.67,0.80)",whethan & oliver tree
,Samsonyte & LeRoyce,https://www.last.fm/music/Samsonyte+&+LeRoyce,0.747,586,samsonyte (in=416); leroyce (in=784),2,"[0.67,0.80)",samsonyte & leroyce
,Geela feat. Duan Fro,https://www.last.fm/music/Geela+feat.+Duan+Fro,0.750,3,geela (in=2); duan fro (in=4),2,"[0.67,0.80)",geela feat. duan fro
,DizzyEight & Mix Williams,https://www.last.fm/music/DizzyEight+&+Mix+Williams,0.751,244,dizzyeight (in=303); mix williams (in=325),2,"[0.67,0.80)",dizzyeight & mix williams
,Lil Boosie & Webbie,https://www.last.fm/music/Lil+Boosie+&+Webbie,0.759,601,lil boosie (in=432); webbie (in=792),2,"[0.67,0.80)",lil boosie & webbie
,PARACHUTE YOUTH/NEJTRINO/BAUR,https://www.last.fm/music/PARACHUTE+YOUTH%2FNEJTRINO%2FBAUR,0.793,261,parachute youth (in=329); nejtrino (in=241); baur (in=25),3,"[0.67,0.80)",parachute youth/nejtrino/baur
,"Young Lito, Troy Ave","https://www.last.fm/music/Young+Lito,+Troy+Ave",0.798,470,young lito (in=150); troy ave (in=589),2,"[0.67,0.80)","young lito, troy ave"
,"Samurai, Refused","https://www.last.fm/music/Samurai,+Refused",0.799,904,samurai (in=1132); refused (in=860),2,"[0.67,0.80)","samurai, refused"
,Jack Starr feat. Rhett Forrester,https://www.last.fm/music/Jack+Starr+feat.+Rhett+Forrester,0.802,485,jack starr (in=605); rhett forrester (in=412),2,"[0.80,1.00)",jack starr feat. rhett forrester
,Juun feat. Sam Smith,https://www.last.fm/music/Juun+feat.+Sam+Smith,0.803,959,juun (in=857); sam smith (in=1194),2,"[0.80,1.00)",juun feat. sam smith
,"BXZX, echo","https://www.last.fm/music/BXZX,+echo",0.808,295,bxzx (in=187); echo (in=365),2,"[0.80,1.00)","bxzx, echo"
,Kati & Azuro,https://www.last.fm/music/Kati+&+Azuro,0.817,1078,kati (in=465); azuro (in=1320),2,"[0.80,1.00)",kati & azuro
,Phonique feat. Rebecca,https://www.last.fm/music/Phonique+feat.+Rebecca,0.824,855,phonique (in=717); rebecca (in=1038),2,"[0.80,1.00)",phonique feat. rebecca
,"Blanke, Rival, KC","https://www.last.fm/music/Blanke,+Rival,+KC",0.833,1104,blanke (in=1326); rival (in=289); kc (in=302),3,"[0.80,1.00)","blanke, rival, kc"
,"32ki, Hatsune Miku & Kasane Teto","https://www.last.fm/music/32ki,+Hatsune+Miku+&+Kasane+Teto",0.835,1041,32ki (in=689); hatsune miku (in=1246); kasane teto (in=265),3,"[0.80,1.00)","32ki, hatsune miku & kasane teto"
,A$AP Rocky Feat. Juicy J,https://www.last.fm/music/A$AP+Rocky+Feat.+Juicy+J,0.842,1538,a$ap rocky (in=1566); juicy j (in=1827),2,"[0.80,1.00)",a$ap rocky feat. juicy j
,鸣潮先约电台/jkinss,https://www.last.fm/music/%E9%B8%A3%E6%BD%AE%E5%85%88%E7%BA%A6%E7%94%B5%E5%8F%B0%2Fjkinss,0.845,49,ming chao xian yue dian tai (in=58); jkinss (in=43),2,"[0.80,1.00)",ming chao xian yue dian tai /jkinss
,"Farazi, Kodes Kahra","https://www.last.fm/music/Farazi,+Kodes+Kahra",0.854,375,farazi (in=439); kodes kahra (in=204),2,"[0.80,1.00)","farazi, kodes kahra"
